#GPU		
#qubits	tiempo	error
20	0.02801888161	0.002
21	0.02759446967	0.005
22	0.03111825686	0.005
23	0.03822455846	0.005
24	0.04740852207	0.005
25	0.06764262167	0.01
26	0.09815892123	0.02
27	0.1814233645	0.02
28	0.3322593458	0.02
29	0.6611651268	0.02
30	1.337959722	0.02
31	2.719092299	0.02
32	5.455968248	0.02
33	13.15344324	0.1
